"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Energy and Other_ NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"Agriculture Capital Management Fund II","20,000,000","2,851,435","18,746,285","1,689,575","3,701,893",0,9/30/2020,"13,368,503","497,048","13,865,551",-7.03,0.86
,,,,"Kamehameha Schools - Financial Assets Division",,,"Agriculture Capital Management Permanent Crops LLC","20,000,000","564,569","21,407,491","1,531,174","5,895,729",0,9/30/2020,"25,848,197","-266,112","25,582,085",7.39,1.37
,,,,"Kamehameha Schools - Financial Assets Division",,,"Alterna Core Capital Assets Fund II, LP.","15,000,000","590,686","23,114,502","1,885,564","15,887,106",0,9/30/2020,"11,697,526","-387,574","11,309,952",3.64,1.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"ArcLight Energy Partners Fund II, L.P.","15,000,000",0,"14,588,521","641,225","23,110,323",0,6/30/2016,"27,994","-31,362","-3,368",16.76,1.52
,,,,"Kamehameha Schools - Financial Assets Division",,,"ArcLight Energy Partners Fund III, L.P.","12,962,204",0,"15,011,289","341,680","23,053,086",0,12/31/2018,0,0,0,8.61,1.50
,,,,"Kamehameha Schools - Financial Assets Division",,,"ArcLight Energy Partners Fund IV, L.P.","11,568,635",0,"14,679,760","667,813","23,290,840",0,9/30/2019,0,0,0,12.58,1.52
,,,,"Kamehameha Schools - Financial Assets Division",,,"Autogas Systems, Inc.","1,293,750",0,"1,293,750",0,"6,676,578",0,9/30/2019,0,"-455,839","-455,839",10.20,4.81
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bayswater Natural Resources IV","10,000,000","3,259,191","6,392,316","348,493","-141,940",0,9/30/2020,"6,520,648","837,390","7,358,038",7.87,1.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"BEP Legacy A LLC","20,000,000",0,"19,251,237","1,456,140","13,399,136",0,12/31/2019,"90,741",0,"90,741",-18.74,0.65
,,,,"Kamehameha Schools - Financial Assets Division",,,"BlackSand Capital Opportunity Fund II-A LP","15,000,000","12,548,927","1,437,048","1,014,025",0,0,6/30/2020,"949,769","29,629","979,398",-59.53,0.40
,,,,"Kamehameha Schools - Financial Assets Division",,,"Campus-Clarion Student Housing Partners LP","15,000,000","6,747,264","7,732,529","568,484","2,196,790",0,9/30/2020,"10,328,216","-186,146","10,142,070",10.87,1.49
,,,,"Kamehameha Schools - Financial Assets Division",,,"Denham Commodity Partners Fund IV, L.P.","10,000,000","165,494","8,867,227","1,361,915","10,913,454",0,12/31/2019,0,0,0,1.50,1.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"Denham Commodity Partners Fund V, L.P.","15,000,000","2,049,995","12,575,416","1,808,102","6,174,151",0,9/30/2020,"869,612",0,"869,612",-17.27,0.49
,,,,"Kamehameha Schools - Financial Assets Division",,,"Denham Commodity Partners Fund VI, L.P.","20,000,000","2,010,548","20,359,376","2,626,047","13,437,117",0,9/30/2020,"10,069,424",0,"10,069,424",0.72,1.02
,,,,"Kamehameha Schools - Financial Assets Division",,,"DRA IX","15,000,000","1,746,606","15,937,369","741,650","6,832,293",0,9/30/2020,"13,333,312","-512,389","12,820,923",9.81,1.18
,,,,"Kamehameha Schools - Financial Assets Division",,,"DRA X","20,000,000","16,655,263","3,742,106","38,295","802,301",0,9/30/2020,"3,323,622","29,017","3,352,639",12.84,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"EMG Fund II, L.P.","20,000,000","34,072","21,400,799","2,229,677","23,153,831",0,9/30/2020,"17,898,488",0,"17,898,488",12.69,1.74
,,,,"Kamehameha Schools - Financial Assets Division",,,"Encap Energy Capital Fund IX, L.P.","18,000,000","901,884","18,905,852","1,617,002","15,877,342",0,9/30/2020,"4,807,852","-271,977","4,535,875",-0.23,0.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnCap Energy Capital Fund VI, L.P.","8,953,862",0,"8,929,524","598,939","16,745,346",0,9/30/2020,"69,451",0,"69,451",23.36,1.76
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnCap Energy Capital Fund VII, L.P.","9,693,982",0,"10,070,727","848,402","13,946,072",0,9/30/2020,"269,317","-55,147","214,170",14.07,1.30
,,,,"Kamehameha Schools - Financial Assets Division",,,"Encap Energy Capital Fund VIII L.P.","15,000,000","70,510","15,971,931","1,114,248","9,800,875",0,9/30/2020,"2,910,647",0,"2,910,647",-9.74,0.74
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnCap Energy Capital Fund X LP","25,000,000","3,213,235","22,067,467","1,392,826","5,364,070",0,9/30/2020,"15,714,316","-5,228","15,709,088",-3.77,0.90
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnCap Energy Capital Fund XI LP","25,000,000","16,330,027","7,448,965","1,221,007",0,0,9/30/2020,"4,573,813","480,387","5,054,200",-28.74,0.58
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy & Minerals Group Fund III LP","25,000,000","160,567","29,387,953","2,048,851","9,126,402",0,9/30/2020,"11,883,737",0,"11,883,737",-10.05,0.67
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy Spectrum Partners V, L.P.","9,220,197",0,"8,147,857","1,080,608","17,188,990",0,12/31/2019,0,0,0,31.80,1.86
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy Spectrum Partners VI, L.P.","14,344,917","1,414,484","10,995,915","1,943,075","12,611,616",0,9/30/2020,"3,315,717",0,"3,315,717",6.15,1.23
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy Spectrum Partners VII LP","25,000,000","1,051,989","21,211,785","2,736,226","10,519,973",0,9/30/2020,"12,143,967","109,162","12,253,129",-2.36,0.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy Spectrum Partners VIII LP","25,000,000","19,222,639","4,854,644","1,028,279","107,898",0,9/30/2020,"3,273,985","1,168,714","4,442,699",-26.65,0.77
,,,,"Kamehameha Schools - Financial Assets Division",,,"Energy Trust Partners V LP","20,000,000","7,258,345","12,750,878","1,774,717","1,817,657",0,9/30/2020,"13,185,156","237,825","13,422,981",2.42,1.05
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnerVest Energy Institutional Fund XI-B, L.P.","19,672,750",0,"17,947,544","2,856,540","22,108,003",0,9/30/2020,"29,874",0,"29,874",1.50,1.06
,,,,"Kamehameha Schools - Financial Assets Division",,,"Enervest Energy Institutional Fund XIII-C, L.P.","25,000,000",0,"23,843,785","2,642,307","2,421,929",0,9/30/2020,0,0,0,N/A,0.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"EnerVest Energy Institutional Fund XIV-C LP","20,000,000","1,746,221","19,589,638","2,161,516","9,753,843",0,9/30/2020,"7,556,477","-42,331","7,514,146",-8.22,0.79
,,,,"Kamehameha Schools - Financial Assets Division",,,"FGSI Partners, L.P.","341,652",0,"305,556","36,096","1,403,749",0,6/30/2004,0,0,0,22.53,4.11
,,,,"Kamehameha Schools - Financial Assets Division",,,"First Reserve Fund X, L.P.","10,000,000",0,"9,841,092","158,908","18,276,161",0,12/31/2019,0,0,0,30.99,1.83
,,,,"Kamehameha Schools - Financial Assets Division",,,"First Reserve Fund XI, L.P.","10,000,000",0,"10,912,951","490,525","7,498,194","204,158",9/30/2020,"5,314",0,"5,314",-10.20,0.68
,,,,"Kamehameha Schools - Financial Assets Division",,,"First Reserve Fund XII, L.P.","20,000,000",0,"22,417,328","1,614,660","13,133,384",0,9/30/2020,"1,539,620","-139,342","1,400,278",-13.19,0.60
,,,,"Kamehameha Schools - Financial Assets Division",,,"First Reserve Fund XIII, L.P.","15,000,000","1,288,792","17,873,171","1,915,644","8,967,944",0,9/30/2020,"9,930,006","-777,220","9,152,786",-5.47,0.92
,,,,"Kamehameha Schools - Financial Assets Division",,,"Greenfield Acquisition Partners V, L.P.","10,000,000","139,999","9,825,001","177,000","13,602,523",0,9/30/2020,"80,071","-2,640","77,431",8.32,1.37
,,,,"Kamehameha Schools - Financial Assets Division",,,"Greenfield Acquisition Partners VI, L.P.","10,000,000","406,840","13,385,351",0,"16,912,305",0,9/30/2020,"122,151","-6,232","115,919",9.97,1.27
,,,,"Kamehameha Schools - Financial Assets Division",,,"Greenfield Acquisition Partners VII, L.P.","20,000,000","2,886,231","24,018,253","-39,452","25,963,478",0,9/30/2020,"13,911,748","-5,117,052","8,794,696",11.82,1.45
,,,,"Kamehameha Schools - Financial Assets Division",,,"Haddington Energy Partners III","10,000,000","7,069","11,241,494","1,889,788","11,034,670",0,9/30/2020,"8,995,194",0,"8,995,194",7.48,1.53
,,,,"Kamehameha Schools - Financial Assets Division",,,"Haddington Energy Partners IV","20,000,000","380,732","23,058,587","3,270,628","8,619,549",0,9/30/2020,"10,070,894","57,064","10,127,958",-7.46,0.71
,,,,"Kamehameha Schools - Financial Assets Division",,,"JOG Limited Partnership No. VI","11,742,143",0,"11,620,442","1,135,525","3,482,198",0,9/30/2020,"2,568,798","117,234","2,686,033",-17.82,0.48
,,,,"Kamehameha Schools - Financial Assets Division",,,"JOG V","7,828,095",0,"9,302,608","766,466","4,190,159",0,9/30/2020,"1,040,076","47,467","1,087,543",-12.71,0.52
,,,,"Kamehameha Schools - Financial Assets Division",,,"Kayne Anderson Energy Fund IV, L.P.","10,000,000",0,"10,089,293","981,478","11,581,393",0,9/30/2020,"214,804",0,"214,804",2.13,1.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"Kayne Anderson Energy Fund V, L.P.","4,310,340","56,755","5,484,600","337,560","6,186,910",0,9/30/2020,"893,806","-76,831","816,975",8.08,1.20
,,,,"Kamehameha Schools - Financial Assets Division",,,"Kayne Anderson Energy Fund VII LP","13,762,975","1,321,908","15,242,565","591,368","5,916,015",0,9/30/2020,"3,795,906","567,915","4,363,821",-21.48,0.65
,,,,"Kamehameha Schools - Financial Assets Division",,,"LBA Realty Fund V LP","15,000,000","889,175","14,469,174",0,"16,469,842",0,9/30/2020,"15,008,680","-8,215,206","6,793,474",12.96,1.61
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Partners IV ACQ","6,000,000","12,356","5,684,020","1,019,681","7,974,404",0,9/30/2020,"8,898,239",0,"8,898,239",11.11,2.52
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Partners V, LP","10,000,000","149,281","9,459,167","1,722,352","8,405,698",0,9/30/2020,"1,620,066",0,"1,620,066",-2.09,0.90
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Partners VI, L.P.","10,000,000","1,319,069","10,396,100","1,431,653","8,984,179",0,9/30/2020,"1,849,245","-34,635","1,814,610",-4.05,0.91
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Partners VII LP","15,000,000","2,290,965","16,092,814","1,573,323","10,405,608",0,9/30/2020,"11,803,178","-60,799","11,742,379",12.42,1.25
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Partners VIII LP","15,000,000","3,316,495","12,151,215","1,299,880","1,932,144",0,9/30/2020,"9,932,771","-1,507","9,931,264",-6.09,0.88
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Resources C, L.P.","9,318,961",0,"10,535,973","1,230,547","14,764,812",0,3/31/2017,0,0,0,7.68,1.25
,,,,"Kamehameha Schools - Financial Assets Division",,,"Lime Rock Resources II-C, LP","10,000,000","316,004","9,966,214","955,570","7,312,109",0,9/30/2020,0,0,0,-22.21,0.67
,,,,"Kamehameha Schools - Financial Assets Division",,,"Merit Energy Partners E-I LP","4,679,288",0,"4,679,288",0,"9,727,352",0,9/30/2020,"143,215","-69,372","73,843",14.20,2.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"Merit Energy Partners F-I LP","3,280,630",0,"3,280,630",0,"1,472,954",0,12/31/2019,0,0,0,-14.88,0.45
,,,,"Kamehameha Schools - Financial Assets Division",,,"Merit Energy Partners G, LP","20,000,000",0,"20,417,413",0,"3,750,134",0,9/30/2020,"7,025,422",0,"7,025,422",-9.45,0.53
,,,,"Kamehameha Schools - Financial Assets Division",,,"Merit Energy Partners I LP","15,000,000",0,"15,000,000",0,"3,874,499",0,9/30/2020,"14,424,678",0,"14,424,678",5.51,1.22
,,,,"Kamehameha Schools - Financial Assets Division",,,"Merit Energy Partners J LP","15,000,000","3,198,240","11,801,760",0,"2,255,035",0,9/30/2020,"13,104,655","235,095","13,339,750",10.21,1.32
,,,,"Kamehameha Schools - Financial Assets Division",,,"Natural Gas Partners IX, L.P.","10,000,000","40,364","9,524,244","1,335,550","13,503,153","1,807,411",9/30/2020,"176,101",0,"176,101",10.75,1.43
,,,,"Kamehameha Schools - Financial Assets Division",,,"Natural Gas Partners VIII, L.P.","5,000,000",0,"4,425,069","578,674","6,945,500","1,359,120",12/31/2018,0,0,0,9.00,1.66
,,,,"Kamehameha Schools - Financial Assets Division",,,"Natural Gas Partners X, L.P.","10,000,000","148,695","9,436,003","1,004,563","8,212,776","225,458",9/30/2020,"1,581,847","-88,455","1,493,392",-1.63,0.95
