"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"5AM Ventures IV LP","18,000,000",0,"15,965,370","2,034,630","6,562,914","1,612,460",9/30/2020,"23,770,800","-3,417,369","20,353,431",11.92,1.58
,,,,"Kamehameha Schools - Financial Assets Division",,,"5AM Ventures V LP","10,000,000","350,000","8,403,800","1,246,200",0,0,9/30/2020,"9,598,553","445,000","10,043,553",1.87,1.04
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North FXV III Limited Partnership","3,085,000","1,079,750","2,005,250",0,0,0,9/30/2020,"1,074,781","925,500","2,000,281",-0.35,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North FXV Limited Partnership","3,085,000","107,975","2,977,025",0,0,0,9/30/2020,"2,930,853",0,"2,930,853",-1.54,0.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North IV Limited Partnership","7,500,000","2,437,500","5,062,500",0,0,0,9/30/2020,"4,412,694","637,500","5,050,194",-0.15,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North V Limited Partnership","6,171,000","3,548,325","2,622,675",0,0,0,9/30/2020,"2,021,929","524,535","2,546,464",-4.95,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"A-Fund II LP","5,000,000","250,000","4,750,000",0,"1,600,000",0,9/30/2020,"9,343,459","-1,500,000","7,843,459",18.18,1.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"A-Fund III LP","4,000,000","2,800,000","1,200,000",0,0,0,9/30/2020,"837,228","200,000","1,037,228",-9.52,0.86
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Growth Fund IV LP","6,600,000","297,000","6,303,000",0,"120,369","945,656",9/30/2020,"8,061,539","-400,109","7,661,430",11.58,1.38
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Growth Fund V LP","9,000,000","3,690,000","5,310,000",0,"59,137",0,9/30/2020,"4,831,523","540,000","5,371,523",1.94,1.02
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel India V LP","7,000,000","490,000","6,510,000",0,0,0,9/30/2020,"7,287,381",0,"7,287,381",4.93,1.12
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel India VI LP","9,000,000","7,065,000","1,935,000",0,0,0,9/30/2020,"1,312,586","450,000","1,762,586",-12.91,0.91
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Leaders 3  LP","5,000,000","5,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
