Date,SBMMTB3 Index,SPX Index,NDDUWI Index,M1WO000G Index,MLCLEUR Index,RAG Index,RAY Index,CCMP Index,MIMUEURN Index,NDDUE15 Index,NDUGE15 Index,SPBSMIT Index,TPX Index,RGUSHSBT Index,RU30VATR Index,LG30TRUU Index,LBUSTRUU Index,SP5NINFT Index,SP5NINDU Index,LG57TRUU Index,S5COND Index,S5CONS Index,MXWD Index,MXCN Index,RGUSH Index,FTR1GRCH Index,M1FMASN Index,MBCN1A Index,R1FqF Index,H0A0 Index,SPLGAL Index,SPUHYBD Index,MXMS Index,LD19TRUU Index,MXEFSC Index,MXEA Index,NSELMTR Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1995,0.004638,0.025932,-0.01525,-0.015196,-0.022999,0,0.020491,0.004309,-0.006669,-0.007829,-0.009285,0,-0.061038,0,0.02702,-0.008233,0.01979,0,0,0,0.00754,0.021938,-0.022067,-0.137849,0,-0.103123,0,0.00095175,0,0,0,0.005323,-0.099623,0,-0.108995,-0.039672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/1995,0.004398,0.038971,0.014336,0.015252,0.005353,0,0.040804,0.051033,0.01786,0.022657,0.030523,0,-0.078702,0,0.039281,-0.002034,0.023776,0,0,0,0.036474,0.02999,0.010331,0.114264,0,0.149401,0,0.02172165,0,0,0,0.026784,0.060054,0,0.02611,-0.003504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1995,0.004929,0.029502,0.047957,0.048755,-0.004748,0,0.024913,0.029569,0.043671,0.046405,0.05379,0,-0.025567,0,0.020217,-0.002404,0.006135,0,0,0,0.031221,0.032359,0.046806,0.00158,0,0.018519,0,0.0317376,0,0,0,0.002305,-0.017894,0,0.016701,0.064361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/1995,0.004814,0.029446,0.034619,0.03709,0.040717,0,0.026079,0.032841,0.030476,0.03198,0.03181,0,0.018304,0,0.031412,0.052688,0.013969,0,0,0,-0.012295,0.029629,0.035784,-0.107367,0,-0.052819,0,0.0240083,0,0,0,0.01623,-0.014522,0,-0.009022,0.037436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1995,0.004937,0.039947,0.008328,0.007939,0.030229,0,0.036233,0.024887,0.021409,0.020475,0.01647,0,-0.058295,0,0.040048,0.048223,0.038697,0,0,0,0.047187,0.045615,0.013436,0.160249,0,0.107763,0,0.0197421,0,0,0,0.019922,0.108188,0,0.047866,-0.009795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1995,0.00474,0.023223,-0.000532,0.001209,-0.004491,0.041484,0.028905,0.080634,0.012237,0.009427,0.022968,0,-0.045375,0,0.015556,0.006582,0.007332,0,0,0,0.027416,0.019301,0.00059,-0.013645,0,-0.026102,0,0.01215085,0,0,0,-0.00291,-0.00649,0,0.006165,-0.016522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/1995,0.004816,0.03316,0.049809,0.048956,0.041707,0.045177,0.040132,0.073038,0.049765,0.052124,0.0514,0,0.116249,0,0.034981,0.014627,-0.002233,0,0,0,0.034057,0.001196,0.047728,0.049679,0,0.026295,0,0.0378986,0,0,0,0.005934,0.018432,0,0.022977,0.061888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1995,0.004737,0.002484,-0.022494,-0.028138,0.00555,0.002183,0.008864,0.019538,-0.037331,-0.038658,-0.030821,0,0.068595,0,0.015686,0.008369,0.012069,0,0,0,-0.020058,-0.003367,-0.021992,-0.058172,0,-0.039447,0,-0.01830485,0,0,0,-0.002804,-0.048855,0,-0.031676,-0.038556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1995,0.004488,0.042205,0.02891,0.035004,0.002188,0.043268,0.038752,0.023336,0.031477,0.030209,0.034817,0,0.010477,0,0.034009,0.020783,0.009729,0,0,0,0.013371,0.076377,0.028022,-0.045689,0,0.048835,0,0.02548735,0,0,0,0.00362,-0.012805,0,-0.013986,0.02068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/1995,0.004588,-0.003585,-0.01596,-0.010898,-0.008994,-0.004531,-0.008666,-0.006984,-0.006323,-0.004723,-0.002843,0,-0.018779,0,-0.012917,-0.002417,0.013005,0,0,0,-0.046922,0.0266,-0.017531,-0.062244,0,-0.002015,0,-0.00318385,0,0,0,0.00223,-0.032566,0,-0.041949,-0.027676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
