Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,Begin Date,As Of Date,Total Market Value,End Date,End NAV,ROR
KSBG25000000,Total Developed Mkt,KSBF10010002,Adage,2020-10-31,2020-12-31,263133759.0,2021-01-31,161342230.60562474,-0.3868432875402174
KSBG25000000,Total Developed Mkt,KSBF10021002,Whitespruce Fund,2020-10-31,2020-12-31,137970545.0,2021-01-31,136547889.3193415,-0.010311299999999924
KSBG25000000,Total Developed Mkt,KSBF10022002,Stockbridge Fund LP,2020-10-31,2020-12-31,73797302.75,2021-01-31,73529632.55319548,-0.003627099999999979
KSBG25000000,Total Developed Mkt,KSBF10023002,Whale Rock,2020-10-31,2020-12-31,208585402.4,2021-01-31,211593829.65881523,0.014423000000000139
KSBG25000000,Total Developed Mkt,KSBF15011102,Misc Equity,2020-10-31,2020-12-31,18809.89,2021-01-31,7657.786630478387,-0.5928850923382121
KSBG25000000,Total Developed Mkt,KSBF19010002,US Equity Beta,2020-10-31,2020-12-31,-4167284.28,2021-01-31,-4164125.5599999996,-0.000757980446680783
KSBG25000000,Total Developed Mkt,KSBF20012002,Morgan Stanley Global,2020-10-31,2020-12-31,55722.27,2021-01-31,13.231349429348484,-0.9997625482696711
KSBG25000000,Total Developed Mkt,KSBF20017002,Cevian Capital II LTD,2020-10-31,2020-12-31,0.0,2021-01-31,0.0,
KSBG25000000,Total Developed Mkt,KSBF20018002,Kamvus,2020-10-31,2020-12-31,154364368.0,2021-01-31,152368282.35739198,-0.012931000000000109
KSBG25000000,Total Developed Mkt,KSBF20019002,Dynamo Fund LLC,2020-10-31,2020-12-31,75502105.54,2021-01-31,74833893.03044462,-0.008850249999999994
KSBG25000000,Total Developed Mkt,KSBF20020002,AKO European,2020-10-31,2020-12-31,145405000.0,2021-01-31,143697218.275,-0.011744999999999959
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,2020-10-31,2020-12-31,34047564.98,2021-01-31,33636876.441698246,-0.012062199999999855
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,2020-10-31,2020-12-31,13444.78,2021-01-31,13311.15233158,-0.009939000000000014
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,2020-10-31,2020-12-31,151488799.5,2021-01-31,100538999.4291403,-0.336327175599934
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,2020-10-31,2020-12-31,143399337.0,2021-01-31,142283991.2967477,-0.0077778999999999
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,2020-10-31,2020-12-31,306701618.8,2021-01-31,276844500.5163472,-0.09734907301915023
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,2020-10-31,2020-12-31,343245053.0,2021-01-31,332437799.3831718,-0.03148553350549878
