Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Base Currency Code,Target Currency Code,Asset Type Name,Purchases,Sales,Total Market Value,Cap Market Value,Total Monthly Return,Cap Monthly Return,Return Due To Income,Total Index Value,Cap Index Value,Report ID,Begin Date,Legacy Currency,Euro Conversion Date
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,10/31/2020,USD,USD,TOTAL NET OF FEES,51350755,55272552,1537239336,1537173406,-1.4429,-1.4429,0,98.5571,98.5571,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,48955000,48955000,-2.09,-2.09,0,97.91,97.91,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,269926248,269926248,7.654,7.654,0,107.654,107.654,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,263108408.5,263108408.5,-2.3813,-2.3813,0,97.6187,97.6187,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,127981187,127981187,-4.6486,-4.6486,0,95.3514,95.3514,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,230045528.5,230045528.5,-2.2871,-2.2871,0,97.7129,97.7129,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,12881.48,0,-0.385,0,-0.385,99.615,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,30328889.95,30328889.95,-2.2389,-2.2389,0,97.7611,97.7611,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,125605000,125605000,-7.2238,-7.2238,0,92.7762,92.7762,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,61518303.29,61518303.29,-2.1153,-2.1153,0,97.8847,97.8847,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,118780072.5,118780072.5,-9.0799,-9.0799,0,90.9201,90.9201,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,10/31/2020,USD,USD,TOTAL NET OF FEES,0,11518733,-1199.85,-1199.85,-0.4953,-0.4785,-0.0168,99.5047,99.5215,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,53048.99,0,-0.6652,0,-0.6652,99.3348,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,10/31/2020,USD,USD,TOTAL NET OF FEES,51350755,43753819,11723462.37,11723462.37,655.8946,655.7233,0.1713,755.8946,755.7233,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,-335744937.4,-335744937.4,0,0,0,100,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.7,18809.7,-0.1574,-6.6668,6.5094,99.8426,93.3332,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,179580011.1,179580011.1,0.3372,0.3372,0,100.3372,100.3372,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,62819353.01,62819353.01,-2.8293,-2.8293,0,97.1707,97.1707,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,118121208,118121208,-6.1542,-6.1542,0,93.8458,93.8458,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,224408061,224408061,-2.3095,-2.3095,0,97.6905,97.6905,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,11/30/2020,USD,USD,TOTAL NET OF FEES,23403632,64369234,1548799035,1548731386,15.1832,15.1823,0.0009,113.5212,113.5203,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,54087332.39,54087332.39,10.4838,10.4838,0,108.1747,108.1747,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,336069158,336069158,24.5041,24.5041,0,134.0336,134.0336,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,302745772.4,302745772.4,15.065,15.065,0,112.325,112.325,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,126130175,126130175,-1.4463,-1.4463,0,93.9723,93.9723,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,255935603.7,255935603.7,11.2543,11.2543,0,108.7098,108.7098,RAM532,10/31/2020,,
