Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,Begin Date,Beta
KSBG25000000,Total Developed Mkt,KSBF10010002,Adage,2020-10-31,1.0071952112281684
KSBG25000000,Total Developed Mkt,KSBF10021002,Whitespruce Fund,2020-10-31,0.9023915567408638
KSBG25000000,Total Developed Mkt,KSBF10022002,Stockbridge Fund LP,2020-10-31,0.9818674791553585
KSBG25000000,Total Developed Mkt,KSBF10023002,Whale Rock,2020-10-31,1.033372008732413
KSBG25000000,Total Developed Mkt,KSBF15011102,Misc Equity,2020-10-31,1.0154801762522683
KSBG25000000,Total Developed Mkt,KSBF19010002,US Equity Beta,2020-10-31,Not have CRBM
KSBG25000000,Total Developed Mkt,KSBF20012002,Morgan Stanley Global,2020-10-31,0.9560175906254519
KSBG25000000,Total Developed Mkt,KSBF20017002,Cevian Capital II LTD,2020-10-31,Not have CRBM
KSBG25000000,Total Developed Mkt,KSBF20018002,Kamvus,2020-10-31,1.0590259413819787
KSBG25000000,Total Developed Mkt,KSBF20019002,Dynamo Fund LLC,2020-10-31,0.7724821184317334
KSBG25000000,Total Developed Mkt,KSBF20020002,AKO European,2020-10-31,0.8039427476588953
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,2020-10-31,0.9069726915402976
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,2020-10-31,1.0154801762522683
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,2020-10-31,0.8763586761424554
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,2020-10-31,1.0170276823996873
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,2020-10-31,0.9737318623805059
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,2020-10-31,1.019240758759869
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,2020-10-31,0.6411404843084896
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,2020-10-31,Not have CRBM
KSBG25050000,Developed Markets-Mgr Only,KSBF10010002,Adage,2020-10-31,1.0071952112281684
KSBG25050000,Developed Markets-Mgr Only,KSBF10021002,Whitespruce Fund,2020-10-31,0.9023915567408638
KSBG25050000,Developed Markets-Mgr Only,KSBF10022002,Stockbridge Fund LP,2020-10-31,0.9818674791553585
KSBG25050000,Developed Markets-Mgr Only,KSBF10023002,Whale Rock,2020-10-31,1.033372008732413
KSBG25050000,Developed Markets-Mgr Only,KSBF15011102,Misc Equity,2020-10-31,1.0154801762522683
KSBG25050000,Developed Markets-Mgr Only,KSBF20012002,Morgan Stanley Global,2020-10-31,0.9560175906254519
KSBG25050000,Developed Markets-Mgr Only,KSBF20017002,Cevian Capital II LTD,2020-10-31,Not have CRBM
KSBG25050000,Developed Markets-Mgr Only,KSBF20018002,Kamvus,2020-10-31,1.0590259413819787
KSBG25050000,Developed Markets-Mgr Only,KSBF20019002,Dynamo Fund LLC,2020-10-31,0.7724821184317334
KSBG25050000,Developed Markets-Mgr Only,KSBF20020002,AKO European,2020-10-31,0.8039427476588953
KSBG25050000,Developed Markets-Mgr Only,KSBF30027002,Blacksheep Fund,2020-10-31,0.9069726915402976
KSBG25050000,Developed Markets-Mgr Only,KSBF35010002,IVA LLC,2020-10-31,1.0154801762522683
KSBG25050000,Developed Markets-Mgr Only,KSBF35011002,Cantillon,2020-10-31,0.8763586761424554
KSBG25050000,Developed Markets-Mgr Only,KSBF35013002,Deccan,2020-10-31,1.0170276823996873
KSBG25050000,Developed Markets-Mgr Only,KSBF70010002,TCI Fund,2020-10-31,0.9737318623805059
KSBG25050000,Developed Markets-Mgr Only,KSBF70076002,Biotechnology Value Fund,2020-10-31,1.019240758759869
KSBG25050000,Developed Markets-Mgr Only,KSBF70093002,Oasis Japan,2020-10-31,0.6411404843084896
KSBG25050000,Developed Markets-Mgr Only,KSBG25050000,Developed Markets-Mgr Only,2020-10-31,Not have CRBM
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,2020-10-31,1.0071952112281684
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,2020-10-31,0.9023915567408638
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,2020-10-31,0.9818674791553585
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,2020-10-31,1.033372008732413
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,2020-10-31,1.0154801762522683
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,2020-10-31,Not have CRBM
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,2020-10-31,Not have CRBM
