Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Base Currency Code,Target Currency Code,Asset Type Name,Purchases,Sales,Total Market Value,Cap Market Value,Total Monthly Return,Cap Monthly Return,Return Due To Income,Total Index Value,Cap Index Value,Report ID,Begin Date,Legacy Currency,Euro Conversion Date
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,20210131,USD,USD,TOTAL NET OF FEES,23959168,156212915,1431698843,1431685508,-1.4367,-1.4375,0.0007,98.5633,98.5625,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,20210131,USD,USD,TOTAL NET OF FEES,0,0,57430350.6,57430350.6,1.7266,1.7266,0,101.7266,101.7266,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,20210131,USD,USD,TOTAL NET OF FEES,0,0,327141669.3,327141669.3,4.2026,4.2026,0,104.2026,104.2026,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,20210131,USD,USD,TOTAL NET OF FEES,0,26952000,265690346.4,265690346.4,-4.7454,-4.7454,0,95.2546,95.2546,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,20210131,USD,USD,TOTAL NET OF FEES,0,0,140380128.8,140380128.8,-2.1055,-2.1055,0,97.8945,97.8945,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,20210131,USD,USD,TOTAL NET OF FEES,0,0,99941355.36,99941355.36,-1.4554,-1.4554,0,98.5446,98.5446,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,20210131,USD,USD,TOTAL NET OF FEES,0,0,13334.17,0,-0.8227,0,-0.8227,99.1773,100,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,20210131,USD,USD,TOTAL NET OF FEES,0,0,32790427.72,32790427.72,-3.6923,-3.6923,0,96.3077,96.3077,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,20210131,USD,USD,TOTAL NET OF FEES,0,0,142557500,142557500,-1.9583,-1.9583,0,98.0417,98.0417,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,20210131,USD,USD,TOTAL NET OF FEES,0,0,72672175.35,72672175.35,-3.7481,-3.7481,0,96.2519,96.2519,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,20210131,USD,USD,TOTAL NET OF FEES,0,0,147988193.1,147988193.1,-4.1306,-4.1306,0,95.8694,95.8694,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,20210131,USD,USD,TOTAL NET OF FEES,0,0,0,0,0,0,0,100,100,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20016002,Non-US Equity Beta,20210131,USD,USD,TOTAL NET OF FEES,0,0,0,0,0,0,0,100,100,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,20210131,USD,USD,TOTAL NET OF FEES,0,0,2343.75,2343.75,4.0826,-1.4357,5.5183,104.0826,98.5643,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,20210131,USD,USD,TOTAL NET OF FEES,23959168,29260915,1859674.84,1859674.84,-144.6283,-144.621,-0.0073,-44.6283,-44.621,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,20210131,USD,USD,TOTAL NET OF FEES,0,0,-428883974.8,-428883974.8,0,0,0,100,100,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,20210131,USD,USD,TOTAL NET OF FEES,0,0,17130.44,17130.44,64.0847,-8.9285,73.0132,164.0847,91.0715,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,20210131,USD,USD,TOTAL NET OF FEES,0,0,211671806.6,211671806.6,1.4797,1.4797,0,101.4797,101.4797,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,20210131,USD,USD,TOTAL NET OF FEES,0,0,70002668.03,70002668.03,-5.142,-5.142,0,94.858,94.858,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,20210131,USD,USD,TOTAL NET OF FEES,0,0,129218786,129218786,-6.3432,-6.3432,0,93.6568,93.6568,RAM532,20210131,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,20210131,USD,USD,TOTAL NET OF FEES,0,100000000,161204927,161204927,-1.1162,-1.1162,0,98.8838,98.8838,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,20210131,USD,USD,TOTAL NET OF FEES,23959168,156212915,1860582817,1860569483,-1.1607,-1.1613,0.0005,98.8393,98.8387,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,20210131,USD,USD,TOTAL NET OF FEES,0,0,57430350.6,57430350.6,1.7266,1.7266,0,101.7266,101.7266,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,20210131,USD,USD,TOTAL NET OF FEES,0,0,327141669.3,327141669.3,4.2026,4.2026,0,104.2026,104.2026,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,20210131,USD,USD,TOTAL NET OF FEES,0,26952000,265690346.4,265690346.4,-4.7454,-4.7454,0,95.2546,95.2546,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,20210131,USD,USD,TOTAL NET OF FEES,0,0,140380128.8,140380128.8,-2.1055,-2.1055,0,97.8945,97.8945,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,20210131,USD,USD,TOTAL NET OF FEES,0,0,99941355.36,99941355.36,-1.4554,-1.4554,0,98.5446,98.5446,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,20210131,USD,USD,TOTAL NET OF FEES,0,0,13334.17,0,-0.8227,0,-0.8227,99.1773,100,RAM532,20210131,,
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,20210131,USD,USD,TOTAL NET OF FEES,0,0,32790427.72,32790427.72,-3.6923,-3.6923,0,96.3077,96.3077,RAM532,20210131,,
