Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,IAS Reference Number,Client Reference Number,Mellon Security ID,Xref Security ID,Security Description 1,Security Description 2,Country Code,Country Name,Shares/Par,FX Receivables,Transaction Category,Transaction Code,Transaction Description 1,Transaction Description 2,Broker Name,Broker Code,Asset-Type/Sub-Category,Subcategory Code,Firm Code,Trade Date,Reported Date,Posted Date,Effective Date,Actual Settle Date,Contract Settle Date,Selection Date,Local Currency Name,Local Currency Code,Local Domestic Tax Reclaim Amount,Local Domestic Tax Expense Amount,Local DTR Amount,Local Txn Amount,Local Cost,Local Gain/Loss,Investment Gain/Loss Local,Investment Gain/Loss Local - Short,Investment Gain/Loss Local - Long,Local Price,Acct Base Currency Name,Acct Base Currency Code,Status,Base Domestic Tax Reclaim Amount,Base Domestic Tax Expense Amount,Base DTR Amount,Base Txn Amount,Base Cost,Base Gain/Loss,Investment Gain/Loss Base,Investment Gain/Loss Base - Short,Investment Gain/Loss Base - Long,Currency Gain/Loss Base,Currency Gain/Loss Base - Short,Currency Gain/Loss Base - Long,GL Account,GL Description,Base Price,Base Exchange Rate,Base Commission,Base Fees,Local Commission,Local Fees,Begin Date,End Date,Report Run Date,Client ID,Long/Short,Custom Unit Status,Value Factor,Tax Code,Tax Code Description,Link Ref,Issuer ID,Counterparty Name,CINS,CUSIP,Ticker,ISIN,SEDOL,Valoren,Sicovam,WPK,Quick,Client Instrument ID,IAS Record Locator,Acctg Status Update (EST),Primary GSP Account,Extended GSP Account Number,Contract Rate
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20210119A000060,,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FUTURE ACTIVITY,RECD FROM KSBF1901002,,,CASH TRANSFERRED OUT,#160,A1,1/14/2020,1/1/2021,1/19/2021,1/14/2020,1/14/2020,,1/1/2021,U.S. DOLLAR,USD,0,0,0,-573.34,-573.34,0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,-573.34,-573.34,0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,21019000060A,1/29/2021 23:37,838084,838084,0
KSBG25000000,TOTAL DEVELOPED MKT,KSBF19010002,US EQUITY BETA,20201201A000120,,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,8380548400 10 MMD    TO,8380848400 10 MMD,,,CASH TRANSFERRED OUT,#160,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,-0.03,-0.03,0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,-0.03,-0.03,0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000120A,1/29/2021 23:37,838054,838054,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201201A000070,,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,8380548400 10 MMD,,,,CASH TRANSFERRED IN,#085,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,0.03,0.03,0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,0.03,0.03,0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000070A,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201201S000080,GSF201201403,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :8384388400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"7,526.00","7,526.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"7,526.00","7,526.00",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000080S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201201S000130,GSF201201404,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :8382378400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"2,787,112.00","2,787,112.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"2,787,112.00","2,787,112.00",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000130S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201201S000010,NRF2011230D0,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM 8380848400 TO 1314658400,,,,CASH TRANSFERRED OUT,#160,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"-421,847.83","-421,847.83",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-421,847.83","-421,847.83",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000010S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201201S000020,GSF201201403,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM :8380848400 10 MMD    TO,:8382058400 10 MMD,,,CASH TRANSFERRED OUT,#160,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,-11.45,-11.45,0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,-11.45,-11.45,0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000020S,1/29/2021 23:37,838084,838084,0
KSBG55000000,TTL VNT CAP & PRV EQ,KSBF50143002,TERRA FIRMA CAP III,20201201S000020,GSF201201403,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :8380848400 10 MMD    TO,:8382058400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,11.45,11.45,0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,11.45,11.45,0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000020S,1/29/2021 23:37,838205,838205,0
KSBG55000000,TTL VNT CAP & PRV EQ,KSBF50161302,HILLHOUSE V FEEDER,20201201S000020,NRF2011230D0,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM 8380848400 TO 1314658400,,,,CASH TRANSFERRED IN,#085,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"421,847.83","421,847.83",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"421,847.83","421,847.83",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000020S,1/29/2021 23:37,131465,131465,0
KSBG55000000,TTL VNT CAP & PRV EQ,KSBF50156002,SENTINEL CAPITAL V,20201201S000010,GSF201201404,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM :8382378400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED OUT,#160,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"-2,787,112.00","-2,787,112.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-2,787,112.00","-2,787,112.00",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000010S,1/29/2021 23:37,838237,838237,0
