Date,KSBF10010002,KSBF20020002,KSBF10022002,KSBF10021002,KSBF10023002,KSBF20018002,KSBF20019002,KSBF30027002,KSBF35011002,KSBF35013002,KSBF70010002,KSBF70093002,KSBF70076002,KSBF15011102,KSBF20012002,KSBF35010002,KSBF70011002,KSBF70081002,KSBF70085002,KSBF70016002,KSBF70032002,KSBF70068002,KSBF70039002,KSBF60012102,KSBF70086002,KSBF70087002,KSBF70057002,KSBF70045002,KSBF70084002,KSBF70050002,KSBF70090002,KSBF70083102,KSBF70078002,KSBF70094002,KSBF70091002,KSBF70089002,KSBF70092002,KSBF70097002,KSBF70046002,KSBF70095002,KSBF70053102,KSBF70052002,KSBF70013002,KSBF70053002,KSBF70029002,KSBF70062002,KSBF70055002,KSBF70061002,KSBF70020002,KSBF70054002,KSBF70054102,KSBF70021002,KSBF70058002,KSBF70028002,KSBF70082002,KSBF70079002,KSBF70022002,KSBF70066002,KSBF70047002,KSBF70047102,KSBF70070002,KSBF70075002,KSBF70083002,KSBF70043002,KSBF70060002,KSBF70088002,KSBF70080002,KSBF30028002,KSBF30017002,KSBF30017102,KSBF30024002,KSBF30024102,KSBF30024302,KSBF30025002,KSBF30016002,KSBF30024402
1995-01-31,0.025932,-0.022999,0.0,0.0,0.004309,-0.006669,0.0009517499999999995,0.004801800000000002,-0.0136764,-0.0136764,-0.015196,-0.061038,0.0,-0.01525,-0.039672,-0.01525,0.007722049999999999,0.0,0.0,-0.004575,0.010372800000000001,0.0,0.004638,0.004638,0.004638,0.004638,0.0,0.01979,0.00280085,0.004638,0.00235824,0.0190183,0.0005170800000000001,-0.013240199999999999,-0.0689245,-0.004575,0.004638,-0.001525,0.0,0.004060940000000001,-0.0070622,0.0,0.004309,0.0,0.005323,0.0,0.0,0.004638,0.015559199999999999,0.0,0.0,-0.0398492,0.0,0.005323,0.0,0.005323,-0.004575,-0.0398492,0.0,0.0,0.0,0.0,0.0,0.015559199999999999,0.0,0.0,0.0,-0.027569800000000002,-0.07424856,0.00095175,0.0,0.0,0.0,0.0002319,-0.108995,0.0
1995-02-28,0.038971,0.005353,0.0,0.0,0.051033,0.01786,0.021721650000000002,0.0339022,0.0137268,0.0137268,0.015252,-0.078702,0.0,0.014336,-0.003504,0.014336,0.012012980000000003,0.0,0.0,0.0043008,0.0155884,0.0,0.004398,0.004398,0.004398,0.004398,0.0,0.023776,0.033171450000000005,0.004398,0.00531712,0.0281729,0.00612396,0.006198599999999999,0.057132,0.0043008,0.004398,0.0014336000000000002,0.0,0.02749344,0.0025264000000000007,0.0,0.051033,0.0,0.026784,0.0,0.0,0.004398,0.0233826,0.0,0.0,0.024021600000000004,0.0,0.026784,0.0,0.026784,0.0043008,0.024021600000000004,0.0,0.0,0.0,0.0,0.0,0.0233826,0.0,0.0,0.0,0.022852800000000003,0.10756872,0.02172165,0.0,0.0,0.0,0.0002199,0.02611,0.0
1995-03-31,0.029502,-0.004748,0.0,0.0,0.029569,0.043671,0.031737600000000005,0.0440748,0.0438795,0.0438795,0.048755,-0.025567,0.0,0.047957,0.064361,0.047957,0.00677886,0.0,0.0,0.0143871,0.0118008,0.0,0.004929,0.004929,0.004929,0.004929,0.0,0.006135,0.01921985,0.004929,0.0050864,0.014897299999999999,0.00354828,0.0280836,0.00079,0.0143871,0.004929,0.0047957,0.0,0.01986413,0.0091348,0.0,0.029569,0.0,0.002305,0.0,0.0,0.004929,0.0177012,0.0,0.0,-0.0071576,0.0,0.002305,0.0,0.002305,0.0143871,-0.0071576,0.0,0.0,0.0,0.0,0.0,0.0177012,0.0,0.0,0.0,0.00031600000000000004,0.01333368,0.0317376,0.0,0.0,0.0,0.00024645,0.016701,0.0
1995-04-30,0.029446,0.040717,0.0,0.0,0.032841,0.030476,0.024008300000000003,0.0308644,0.033381,0.033381,0.03709,0.018304,0.0,0.034619,0.037436,0.034619,0.01814276,0.0,0.0,0.0103857,0.011778400000000001,0.0,0.004814,0.004814,0.004814,0.004814,0.0,0.013969,0.02134665,0.004814,0.00138672,0.028220000000000002,0.0039409200000000005,0.0214704,-0.0536835,0.0103857,0.004814,0.0034619,0.0,0.0037436099999999996,0.0394994,0.0,0.032841,0.0,0.01623,0.0,0.0,0.004814,0.0176676,0.0,0.0,-0.0058088,0.0,0.01623,0.0,0.01623,0.0103857,-0.0058088,0.0,0.0,0.0,0.0,0.0,0.0176676,0.0,0.0,0.0,-0.021473400000000004,-0.038029679999999996,0.0240083,0.0,0.0,0.0,0.0002407,-0.009022,0.0
1995-05-31,0.039947,0.030229,0.0,0.0,0.024887,0.021409,0.019742100000000002,0.0258608,0.0071451,0.0071451,0.007939,-0.058295,0.0,0.008328,-0.009795,0.008328,0.019927990000000003,0.0,0.0,0.0024984,0.0159788,0.0,0.004937,0.004937,0.004937,0.004937,0.0,0.038697,0.01617655,0.004937,0.007424160000000001,0.0338433,0.00298644,0.0080616,0.0801245,0.0024984,0.004937,0.0008328000000000001,0.0,0.02487355,0.0315868,0.0,0.024887,0.0,0.019922,0.0,0.0,0.004937,0.023968200000000002,0.0,0.0,0.04327520000000001,0.0,0.019922,0.0,0.019922,0.0024984,0.04327520000000001,0.0,0.0,0.0,0.0,0.0,0.023968200000000002,0.0,0.0,0.0,0.0320498,0.07758936,0.0197421,0.0,0.0,0.0,0.00024685,0.047866,0.0
1995-06-30,0.023223,-0.004491,0.039409799999999995,0.0,0.080634,0.012237,0.012150850000000001,0.02307,0.0010881,0.0010881,0.001209,-0.045375,0.0,-0.000532,-0.016522,-0.000532,0.00676498,0.0,0.0,-0.0001596,0.009289200000000001,0.0,0.00474,0.00474,0.00474,0.00474,0.0,0.007332,0.0524121,0.00474,0.0037373600000000003,0.012495399999999999,0.00967608,0.000354,-0.0068225,-0.0001596,0.00474,-5.3200000000000006e-05,0.0,0.03165708,0.0047908,0.0,0.080634,0.0,-0.00291,0.0,0.0,0.00474,0.0139338,0.0,0.0,-0.0025960000000000002,0.0,-0.00291,0.0,-0.00291,-0.0001596,-0.0025960000000000002,0.0,0.0,0.0,0.0,0.0,0.0139338,0.0,0.0,0.0,-0.002729,-0.018793439999999998,0.01215085,0.0,0.0,0.0,0.00023700000000000001,0.006165,0.0
1995-07-31,0.03316,0.041707,0.04291815,0.0,0.073038,0.049765,0.037898600000000005,0.044104000000000004,0.0440604,0.0440604,0.048956,0.116249,0.0,0.049809,0.061888,0.049809,0.013433529999999999,0.0,0.0,0.0149427,0.013264000000000001,0.0,0.004816,0.004816,0.004816,0.004816,0.0,-0.002233,0.04747470000000001,0.004816,0.00282024,0.0269126,0.008764560000000001,0.028636799999999997,0.0248395,0.0149427,0.004816,0.0049809,0.0,0.03227211,0.019701200000000002,0.0,0.073038,0.0,0.005934,0.0,0.0,0.004816,0.019896,0.0,0.0,0.0073728000000000005,0.0,0.005934,0.0,0.005934,0.0149427,0.0073728000000000005,0.0,0.0,0.0,0.0,0.0,0.019896,0.0,0.0,0.0,0.009935800000000002,0.0189324,0.0378986,0.0,0.0,0.0,0.0002408,0.022977,0.0
1995-08-31,0.002484,0.00555,0.00207385,0.0,0.019538,-0.037331,-0.01830485,-0.017499,-0.0253242,-0.0253242,-0.028138,0.068595,0.0,-0.022494,-0.038556,-0.022494,0.007068529999999999,0.0,0.0,-0.0067482,0.0009936,0.0,0.004737,0.004737,0.004737,0.004737,0.0,0.012069,0.0126997,0.004737,-0.001874,0.012764499999999998,0.00234456,-0.0131952,-0.029086,-0.0067482,0.004737,-0.0022494,0.0,-0.0027427400000000005,0.00147,0.0,0.019538,0.0,-0.002804,0.0,0.0,0.004737,0.0014904,0.0,0.0,-0.019542000000000004,0.0,-0.002804,0.0,-0.002804,-0.0067482,-0.019542000000000004,0.0,0.0,0.0,0.0,0.0,0.0014904,0.0,0.0,0.0,-0.011634400000000001,-0.02840184,-0.01830485,0.0,0.0,0.0,0.00023685,-0.031676,0.0
1995-09-30,0.042205,0.002188,0.0411046,0.0,0.023336,0.031477,0.02548735,0.037772200000000006,0.0315036,0.0315036,0.035004,0.010477,0.0,0.02891,0.02068,0.02891,0.013986369999999998,0.0,0.0,0.008673,0.016882,0.0,0.004488,0.004488,0.004488,0.004488,0.0,0.009729,0.0151684,0.004488,0.00717984,0.026782199999999992,0.00280032,0.016813199999999997,-0.0228445,0.008673,0.004488,0.0028910000000000003,0.0,0.01128205,0.0191494,0.0,0.023336,0.0,0.00362,0.0,0.0,0.004488,0.025323,0.0,0.0,-0.005122000000000001,0.0,0.00362,0.0,0.00362,0.008673,-0.005122000000000001,0.0,0.0,0.0,0.0,0.0,0.025323,0.0,0.0,0.0,-0.0091378,0.035161200000000004,0.02548735,0.0,0.0,0.0,0.0002244,-0.013986,0.0
1995-10-31,-0.003585,-0.008994,-0.0043044500000000005,0.0,-0.006984,-0.006323,-0.0031838500000000002,-0.0031398,-0.0098082,-0.0098082,-0.010898,-0.018779,0.0,-0.01596,-0.027676,-0.01596,-0.0026029100000000004,0.0,0.0,-0.004788,-0.0014340000000000002,0.0,0.004588,0.004588,0.004588,0.004588,0.0,0.013005,-0.0045396,0.004588,-0.00162576,-0.008365999999999998,-0.0008380799999999999,-0.010518600000000001,-0.031122,-0.004788,0.004588,-0.001596,0.0,-0.02011542,-0.0037246,0.0,-0.006984,0.0,0.00223,0.0,0.0,0.004588,-0.002151,0.0,0.0,-0.0130264,0.0,0.00223,0.0,0.00223,-0.004788,-0.0130264,0.0,0.0,0.0,0.0,0.0,-0.002151,0.0,0.0,0.0,-0.012448800000000001,-0.0014508,-0.00318385,0.0,0.0,0.0,0.00022940000000000002,-0.041949,0.0
