AC,Account,Manager,Date,CRBM
Developed,KSBF10010002,Adage,1995-01-31,0.025932
Developed,KSBF10010002,Adage,1995-02-28,0.038971
Developed,KSBF10010002,Adage,1995-03-31,0.029502
Developed,KSBF10010002,Adage,1995-04-30,0.029446
Developed,KSBF10010002,Adage,1995-05-31,0.039947
Developed,KSBF10010002,Adage,1995-06-30,0.023223
Developed,KSBF10010002,Adage,1995-07-31,0.03316
Developed,KSBF10010002,Adage,1995-08-31,0.002484
Developed,KSBF10010002,Adage,1995-09-30,0.042205
Developed,KSBF10010002,Adage,1995-10-31,-0.003585
Developed,KSBF10010002,Adage,1995-11-30,0.043874
Developed,KSBF10010002,Adage,1995-12-31,0.01922
Developed,KSBF10010002,Adage,1996-01-31,0.033974
Developed,KSBF10010002,Adage,1996-02-29,0.00926
Developed,KSBF10010002,Adage,1996-03-31,0.009624
Developed,KSBF10010002,Adage,1996-04-30,0.014711
Developed,KSBF10010002,Adage,1996-05-31,0.025719
Developed,KSBF10010002,Adage,1996-06-30,0.003798
Developed,KSBF10010002,Adage,1996-07-31,-0.044205
Developed,KSBF10010002,Adage,1996-08-31,0.021097
Developed,KSBF10010002,Adage,1996-09-30,0.056288
Developed,KSBF10010002,Adage,1996-10-31,0.027564
Developed,KSBF10010002,Adage,1996-11-30,0.075581
Developed,KSBF10010002,Adage,1996-12-31,-0.019834
Developed,KSBF10010002,Adage,1997-01-31,0.062458
Developed,KSBF10010002,Adage,1997-02-28,0.007838
Developed,KSBF10010002,Adage,1997-03-31,-0.041085
Developed,KSBF10010002,Adage,1997-04-30,0.05967
Developed,KSBF10010002,Adage,1997-05-31,0.06088
Developed,KSBF10010002,Adage,1997-06-30,0.044803
Developed,KSBF10010002,Adage,1997-07-31,0.07952
Developed,KSBF10010002,Adage,1997-08-31,-0.056051
Developed,KSBF10010002,Adage,1997-09-30,0.054765
Developed,KSBF10010002,Adage,1997-10-31,-0.033407
Developed,KSBF10010002,Adage,1997-11-30,0.0463
Developed,KSBF10010002,Adage,1997-12-31,0.017152
Developed,KSBF10010002,Adage,1998-01-31,0.01105
Developed,KSBF10010002,Adage,1998-02-28,0.072124
Developed,KSBF10010002,Adage,1998-03-31,0.051201
Developed,KSBF10010002,Adage,1998-04-30,0.010037
Developed,KSBF10010002,Adage,1998-05-31,-0.017281
Developed,KSBF10010002,Adage,1998-06-30,0.04061
Developed,KSBF10010002,Adage,1998-07-31,-0.01066
Developed,KSBF10010002,Adage,1998-08-31,-0.144583
Developed,KSBF10010002,Adage,1998-09-30,0.064016
Developed,KSBF10010002,Adage,1998-10-31,0.081331
Developed,KSBF10010002,Adage,1998-11-30,0.060601
Developed,KSBF10010002,Adage,1998-12-31,0.057603
Developed,KSBF10010002,Adage,1999-01-31,0.041816
Developed,KSBF10010002,Adage,1999-02-28,-0.031086
Developed,KSBF10010002,Adage,1999-03-31,0.040008
Developed,KSBF10010002,Adage,1999-04-30,0.038717
Developed,KSBF10010002,Adage,1999-05-31,-0.023666
Developed,KSBF10010002,Adage,1999-06-30,0.055497
Developed,KSBF10010002,Adage,1999-07-31,-0.031234
Developed,KSBF10010002,Adage,1999-08-31,-0.00497
Developed,KSBF10010002,Adage,1999-09-30,-0.027416
Developed,KSBF10010002,Adage,1999-10-31,0.063274
Developed,KSBF10010002,Adage,1999-11-30,0.020321
Developed,KSBF10010002,Adage,1999-12-31,0.058882
Developed,KSBF10010002,Adage,2000-01-31,-0.050242
Developed,KSBF10010002,Adage,2000-02-29,-0.018938
Developed,KSBF10010002,Adage,2000-03-31,0.097831
Developed,KSBF10010002,Adage,2000-04-30,-0.030092
Developed,KSBF10010002,Adage,2000-05-31,-0.020566
Developed,KSBF10010002,Adage,2000-06-30,0.024653
Developed,KSBF10010002,Adage,2000-07-31,-0.015573
Developed,KSBF10010002,Adage,2000-08-31,0.062099
Developed,KSBF10010002,Adage,2000-09-30,-0.052796
Developed,KSBF10010002,Adage,2000-10-31,-0.004233
Developed,KSBF10010002,Adage,2000-11-30,-0.078839
Developed,KSBF10010002,Adage,2000-12-31,0.004887
Developed,KSBF10010002,Adage,2001-01-31,0.035479
Developed,KSBF10010002,Adage,2001-02-28,-0.091189
Developed,KSBF10010002,Adage,2001-03-31,-0.06335
Developed,KSBF10010002,Adage,2001-04-30,0.077702
Developed,KSBF10010002,Adage,2001-05-31,0.006651
Developed,KSBF10010002,Adage,2001-06-30,-0.024345
Developed,KSBF10010002,Adage,2001-07-31,-0.009854
Developed,KSBF10010002,Adage,2001-08-31,-0.062627
Developed,KSBF10010002,Adage,2001-09-30,-0.080765
Developed,KSBF10010002,Adage,2001-10-31,0.019054
Developed,KSBF10010002,Adage,2001-11-30,0.076709
Developed,KSBF10010002,Adage,2001-12-31,0.00876
Developed,KSBF10010002,Adage,2002-01-31,-0.014584
Developed,KSBF10010002,Adage,2002-02-28,-0.019307
Developed,KSBF10010002,Adage,2002-03-31,0.037609
Developed,KSBF10010002,Adage,2002-04-30,-0.060642
Developed,KSBF10010002,Adage,2002-05-31,-0.007427
Developed,KSBF10010002,Adage,2002-06-30,-0.071151
Developed,KSBF10010002,Adage,2002-07-31,-0.077947
Developed,KSBF10010002,Adage,2002-08-31,0.006544
Developed,KSBF10010002,Adage,2002-09-30,-0.108682
Developed,KSBF10010002,Adage,2002-10-31,0.088019
Developed,KSBF10010002,Adage,2002-11-30,0.058858
Developed,KSBF10010002,Adage,2002-12-31,-0.058752
Developed,KSBF10010002,Adage,2003-01-31,-0.026197
Developed,KSBF10010002,Adage,2003-02-28,-0.015004
Developed,KSBF10010002,Adage,2003-03-31,0.0097
Developed,KSBF10010002,Adage,2003-04-30,0.082352
Developed,KSBF10010002,Adage,2003-05-31,0.052682
Developed,KSBF10010002,Adage,2003-06-30,0.012748
Developed,KSBF10010002,Adage,2003-07-31,0.017597
Developed,KSBF10010002,Adage,2003-08-31,0.019493
Developed,KSBF10010002,Adage,2003-09-30,-0.01062
Developed,KSBF10010002,Adage,2003-10-31,0.056524
Developed,KSBF10010002,Adage,2003-11-30,0.008782
Developed,KSBF10010002,Adage,2003-12-31,0.052438
Developed,KSBF10010002,Adage,2004-01-31,0.018354
Developed,KSBF10010002,Adage,2004-02-29,0.01389
Developed,KSBF10010002,Adage,2004-03-31,-0.015088
Developed,KSBF10010002,Adage,2004-04-30,-0.015692
Developed,KSBF10010002,Adage,2004-05-31,0.013707
Developed,KSBF10010002,Adage,2004-06-30,0.019452
Developed,KSBF10010002,Adage,2004-07-31,-0.0331
Developed,KSBF10010002,Adage,2004-08-31,0.004037
Developed,KSBF10010002,Adage,2004-09-30,0.010825
Developed,KSBF10010002,Adage,2004-10-31,0.015281
Developed,KSBF10010002,Adage,2004-11-30,0.040457
Developed,KSBF10010002,Adage,2004-12-31,0.034004
Developed,KSBF10010002,Adage,2005-01-31,-0.024376
Developed,KSBF10010002,Adage,2005-02-28,0.021042
Developed,KSBF10010002,Adage,2005-03-31,-0.017709
Developed,KSBF10010002,Adage,2005-04-30,-0.018963
Developed,KSBF10010002,Adage,2005-05-31,0.031817
Developed,KSBF10010002,Adage,2005-06-30,0.001421
Developed,KSBF10010002,Adage,2005-07-31,0.037187
Developed,KSBF10010002,Adage,2005-08-31,-0.009123
Developed,KSBF10010002,Adage,2005-09-30,0.008099
Developed,KSBF10010002,Adage,2005-10-31,-0.016666
Developed,KSBF10010002,Adage,2005-11-30,0.037819
Developed,KSBF10010002,Adage,2005-12-31,0.0003
Developed,KSBF10010002,Adage,2006-01-31,0.026484
Developed,KSBF10010002,Adage,2006-02-28,0.002704
Developed,KSBF10010002,Adage,2006-03-31,0.012438
Developed,KSBF10010002,Adage,2006-04-30,0.013425
Developed,KSBF10010002,Adage,2006-05-31,-0.02878
Developed,KSBF10010002,Adage,2006-06-30,0.001326
Developed,KSBF10010002,Adage,2006-07-31,0.006172
Developed,KSBF10010002,Adage,2006-08-31,0.023795
Developed,KSBF10010002,Adage,2006-09-30,0.025746
Developed,KSBF10010002,Adage,2006-10-31,0.032582
Developed,KSBF10010002,Adage,2006-11-30,0.019017
Developed,KSBF10010002,Adage,2006-12-31,0.013941
Developed,KSBF10010002,Adage,2007-01-31,0.015121
Developed,KSBF10010002,Adage,2007-02-28,-0.019555
Developed,KSBF10010002,Adage,2007-03-31,0.01117
Developed,KSBF10010002,Adage,2007-04-30,0.0443
Developed,KSBF10010002,Adage,2007-05-31,0.034885
Developed,KSBF10010002,Adage,2007-06-30,-0.016623
Developed,KSBF10010002,Adage,2007-07-31,-0.031002
Developed,KSBF10010002,Adage,2007-08-31,0.014988
Developed,KSBF10010002,Adage,2007-09-30,0.037388
Developed,KSBF10010002,Adage,2007-10-31,0.015906
Developed,KSBF10010002,Adage,2007-11-30,-0.041031
Developed,KSBF10010002,Adage,2007-12-31,-0.006976
Developed,KSBF10010002,Adage,2008-01-31,-0.059983
Developed,KSBF10010002,Adage,2008-02-29,-0.03249
Developed,KSBF10010002,Adage,2008-03-31,-0.004323
Developed,KSBF10010002,Adage,2008-04-30,0.048708
Developed,KSBF10010002,Adage,2008-05-31,0.012952
Developed,KSBF10010002,Adage,2008-06-30,-0.084312
Developed,KSBF10010002,Adage,2008-07-31,-0.008406
Developed,KSBF10010002,Adage,2008-08-31,0.014467
Developed,KSBF10010002,Adage,2008-09-30,-0.089115
Developed,KSBF10010002,Adage,2008-10-31,-0.167951
Developed,KSBF10010002,Adage,2008-11-30,-0.071748
Developed,KSBF10010002,Adage,2008-12-31,0.010626
Developed,KSBF10010002,Adage,2009-01-31,-0.084283
Developed,KSBF10010002,Adage,2009-02-28,-0.106479
Developed,KSBF10010002,Adage,2009-03-31,0.087599
Developed,KSBF10010002,Adage,2009-04-30,0.09569
Developed,KSBF10010002,Adage,2009-05-31,0.0559
Developed,KSBF10010002,Adage,2009-06-30,0.001979
Developed,KSBF10010002,Adage,2009-07-31,0.075631
Developed,KSBF10010002,Adage,2009-08-31,0.036084
Developed,KSBF10010002,Adage,2009-09-30,0.037311
Developed,KSBF10010002,Adage,2009-10-31,-0.018587
Developed,KSBF10010002,Adage,2009-11-30,0.059941
Developed,KSBF10010002,Adage,2009-12-31,0.019313
Developed,KSBF10010002,Adage,2010-01-31,-0.035971
Developed,KSBF10010002,Adage,2010-02-28,0.030956
Developed,KSBF10010002,Adage,2010-03-31,0.060347
Developed,KSBF10010002,Adage,2010-04-30,0.01578
Developed,KSBF10010002,Adage,2010-05-31,-0.079848
Developed,KSBF10010002,Adage,2010-06-30,-0.052355
Developed,KSBF10010002,Adage,2010-07-31,0.070059
Developed,KSBF10010002,Adage,2010-08-31,-0.045147
Developed,KSBF10010002,Adage,2010-09-30,0.08924
Developed,KSBF10010002,Adage,2010-10-31,0.038048
Developed,KSBF10010002,Adage,2010-11-30,0.00012
Developed,KSBF10010002,Adage,2010-12-31,0.066837
Developed,KSBF10010002,Adage,2011-01-31,0.023697
Developed,KSBF10010002,Adage,2011-02-28,0.034251
Developed,KSBF10010002,Adage,2011-03-31,0.000403
Developed,KSBF10010002,Adage,2011-04-30,0.029607
Developed,KSBF10010002,Adage,2011-05-31,-0.011323
Developed,KSBF10010002,Adage,2011-06-30,-0.01667
Developed,KSBF10010002,Adage,2011-07-31,-0.020341
Developed,KSBF10010002,Adage,2011-08-31,-0.05433
Developed,KSBF10010002,Adage,2011-09-30,-0.070296
Developed,KSBF10010002,Adage,2011-10-31,0.109292
